game_title,description,genres
Kingdom Hearts: Birth by Sleep,"Ten years before Sora held the Keyblade, three young Keyblade wielders bound by friendship, face being torn apart by the sinister monsters terrorizing other worlds and the manipulative mastermind behind them.","['Action', 'Adventure', 'Family', 'Fantasy']"
Steins;Gate,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Thriller']"
Psychonauts 2,"The game will pick up after the conclusion of Psychonauts in the Rhombus of Ruin, following Zanotto's rescue, the team returns to Psychonaut Headquarters, where Raz discovers that the organization had been changed by its second-in-command, and psychic research was directed away f... Read all","['Action', 'Adventure', 'Comedy']"
Gears of War 2,Marcus Fenix and his COG Delta Squad fight against the Locust army to prevent them from sinking the cities of planet Sera.,"['Action', 'Sci-Fi', 'War']"
Outer Wilds,"Outer Wilds is an exploration game about curiosity, roasting marshmallows, and unraveling the mysteries of the cosmos.","['Adventure', 'Mystery', 'Sci-Fi']"
Crash Bandicoot: Warped,"Crash Bandicoot, Aku Aku and Coco travel through time to stop Dr. Cortex and Aku Aku's evil twin brother Uka Uka from enslaving Earth.","['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Lego Star Wars: The Complete Saga,"Collect Gold Bricks while successfully progressing through the entire story, from the Trade Federation negotiations above Naboo in Star Wars Episode I, to the attack on the second Death Star above Endor in Return of the Jedi.","['Parody', 'Slapstick', 'Space Sci-Fi', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Limbus Company,"Limbus Company is an indie strategy role-playing video game for Microsoft Windows and mobile devices using iOS or Android, developed and published by South Korean studio Project Moon.","['Fantasy', 'Horror', 'Mystery', 'Sci-Fi']"
Inside,"Hunted and alone, a boy finds himself drawn into the center of a dark project.","['Adventure', 'Horror', 'Mystery', 'Sci-Fi']"
Final Fantasy VIII,"A group of students at a military academy rescue a mysterious girl, who some say is the sorceress who wants to govern the universe.","['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']"
TimeSplitters: Future Perfect,"Sent to undo the TimeSplitter threat, Cortez journeys into 6 different time periods to track down Jacob Crow who created the TimeSplitter creatures.","['Superhero', 'Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']"
The Operative: No One Lives Forever,"A 1960's female spy must battle an eccentric terrorist organization in this classic first person shooter, a stylish and tongue-in-cheek spoof of Cold War era James Bond.","['Parody', 'Action', 'Adventure', 'Comedy']"
The Lord of the Rings: The Battle for Middle-Earth,"You play the events of The Lord of the Rings trilogy, both with the Fellowship of the Ring and the larger War of the Ring.","['Action', 'Adventure', 'Fantasy']"
Dragon Ball Z: Budokai Tenkaichi 3,"The third and final installment in the Budokai Tenkaichi series that includes the apocalyptic battles and the essence of the Dragon Ball series, following the main story.","['Superhero', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Mystery', 'Sci-Fi']"
Ratchet & Clank: Up Your Arsenal,"Ratchet and Clank return to the Solana Galaxy to combat Dr. Nefarious, a villain from Qwark's shady past, who wishes to turn all organic life into robots.","['Buddy Comedy', 'Satire', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Pokémon Crystal Version,"A remake of the Gold and Silver versions of Pocket Monsters, with new animations, characters, and a new female trainer.","['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Sport']"
The Talos Principle 2,"Humanity as we know it has long gone extinct, but our culture lives on in a world inhabited by robots made in our image. Players embark on a quest to investigate a mysterious megastructure, and along the way they'll be confronted with questions about the nature of the cosmos, fai... Read all","['Adventure', 'Drama', 'Mystery', 'Sci-Fi']"
Medieval II: Total War,"A diplomatic, strategic war game set between the years 1080 and 1530, focusing on medieval warfare, religion and politics in Europe, North Africa and the Middle East.","['Action', 'History', 'War']"
Sam and Max Hit the Road,Two screwball detectives are hired to track a couple of human oddities that went missing from a local Tourist Trap.,"['Adult Animation', 'Adventure', 'Animation', 'Comedy', 'Mystery']"
Fire Emblem: Awakening,"During a turbulent era, Chrom, the prince of Ylisse and descendant of the Hero-King Marth, leads The Shepherds in observing and combating the bizarre activities of the neighboring country Plegia.","['Action', 'Adventure', 'Family', 'Fantasy']"
Five Hearts Under One Roof,Add a plot in your language,['Romance']
StarCraft II: Legacy of the Void,"After the events of StarCraft II: Heart of the Swarm (2013), Hierarch Artanis works to reunite the Protoss factions in order to retake their homeworld of Auir and stop Amon from destroying the galaxy.","['Action', 'Adventure', 'Sci-Fi', 'War']"
Metal Gear Solid: Master Collection Vol. 1,"The origin of stealth action returns. METAL GEAR SOLID: MASTER COLLECTION Vol. 1 unifies the beginning of the METAL GEAR gameplay experience in one single package. Infiltrate enemy fortresses all over the globe, complete your missions with stealth and experience the thrilling cin... Read all","['Action', 'Sci-Fi']"
MADNESS: Project Nexus,"MADNESS: Project Nexus is a Beat-Em-Up styled video game taking place in Nevada where our three protagonists uncover the hidden truths of Project Nexus, while attempting to save all of Nevada.","['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Riven: The Sequel to Myst,"After the events of Myst (1993), the Stranger travels to Riven to help Atrus by rescuing his wife Catherine, trapping his father Gehn and saving the Rivenese before their world collapses.","['Adventure', 'Fantasy', 'Mystery', 'Sci-Fi']"
Thief: The Dark Project,"Unbeknownst to him, a cynical but witty master-thief Garrett will become a key player in the secret war between the cult of builders and the cult of pagans in a medieval city where certain types of magic and advanced technology exist.","['Action', 'Adventure', 'Crime', 'Drama', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']"
Pokémon Emerald Version,"A young aspiring Pokemon Trainer moves to Littleroot Town. Crammed amid a truckload of boxes, our hero enters the foreign neighborhood eager to explore.","['Action', 'Adventure', 'Fantasy']"
StarCraft II: Heart of the Swarm,"After the events of StarCraft II: Wings of Liberty (2010), Sarah Kerrigan works to reunite the Zerg swarm in order to take revenge on Arcturus Mengsk.","['Action', 'Adventure', 'Sci-Fi', 'War']"
Undying,Former soldier Patrick Galloway receives a plea for help from his old friend and former comrade in arms Jeremiah Covenant.,"['Action', 'Horror', 'Mystery', 'Thriller']"
Pokémon: Yellow Version - Special Pikachu Edition,"This game draws inspiration from the Pokémon anime series. Some gameplay events and storyline aspects are added or changed, though the overall story remains the same.","['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Sport']"
Pokémon FireRed Version,A Pokémon trainer adventures through the Kanto Region to achieve their destiny of becoming a Pokemon Champion.,"['Action', 'Adventure', 'Fantasy']"
Half-Life 2: Episode One,Gordon Freeman and Alyx Vance must escape City 17 following the explosion of its fusion reactor.,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Cuphead: The Delicious Last Course,"The two brothers, Cuphead and Mugman are joined by Ms. Chalice for a DLC add-on adventure on a brand new island. Are you ready to take on a new cast of multi-faceted, screen-filling bosses to assist Chef Saltbaker in Cuphead's final challenging quest?","['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Metroid Prime Remastered,"Remastered version of ""Metroid Prime (2002)"" with updated visuals, audio, controls and more for Nintendo Switch.","['Action', 'Adventure', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
Wobbly Life,"Wobbly Life is a lively open world physics based sandbox where you can do anything you want. Explore Wobbly Island with your friends, discover fun locations and save money to buy various accessories for your character.",[]
Age of Empires II: Definitive Edition,"Age of Empires II: DE celebrates the 20th year of one of the most popular strategy games ever with 4K Ultra HD graphics, a new and fully remastered soundtrack, and brand-new content The Last Khans with 3 campaigns and 4 civilizations.",['Adventure']
Professor Layton and the Unwound Future,Professor Layton and Luke receive a letter from the future and set out to discover its meaning.,"['Adventure', 'Animation', 'Fantasy', 'Sci-Fi']"
Pokémon: Blue Version,Play as a young Pokémon trainer trying to catch all 150 Pokémon.,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Sport']"
The Legend of Zelda: A Link Between Worlds,Link is yet again tasked with restoring peace to the kingdom of Hyrule after a malevolent sorcerer named Yuga captures Princess Zelda and escapes through a rift to the ruined world of Lorule.,"['Action', 'Adventure', 'Fantasy']"
Super Mario RPG: Legend of the Seven Stars,"Just as Mario trounces Bowser for the millionth time, a giant, malevolent sword crashes into Bowser's keep, casting Mario, Princess Toadstool and Bowser far and wide, and breaking seven pieces from the wish-granting Star Road.","['Adventure Epic', 'Action', 'Adventure', 'Family', 'Fantasy']"
Homeworld,You control a colony ship's crew looking for a new home after their homeworld's destruction despite deadly opposition.,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Sanitarium,After a horrific car crash your character ends up in an asylum. You must find out how you came to be there and recover your identity.,"['Psychological Horror', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Thriller']"
Scarface: Money. Power. Respect.,Scarface: Money. Power. Respect. is a turn-based strategy game featuring both single and multiplayer modes. The game challenges the player to make strategic decisions to rise to power and to direct an army of gunmen while fighting.,['Action']
Quest for Glory IV: Shadows of Darkness,"Transported to the Slavic land of Mordavia, the hero must banish the darkness taking over the valley and prevent the summoning of a terrible demon into the world.","['Adventure', 'Fantasy']"
Angry Birds Reloaded,"The world's most famous flock has returned in a new version of the mobile game that took the world by storm. Join Red, Chuck, Bomb, Silver and the rest of the gang for classic slingshot action that will please fans of all ages.","['Action', 'Adventure', 'Family']"
Monkey Island 2: LeChuck's Revenge - Special Edition,"Wannabe pirate Guybrush Threepwood, and the now zombie pirate LeChuck, return in what has long been considered one of the greatest LucasArts adventure games of all time.","['Adventure', 'Comedy', 'Fantasy']"
Make Easy Money Online 100% Money Gain Guarantee,Add a plot in your language,['Talk Show']
Turrican II: The Final Fight,"Action-packed sequel featuring more platforming, sci-fi mayhem.","['Action', 'Adventure', 'Sci-Fi']"
We Love Katamari,"We Love Katamari, known in Japan as Minna Daisuki Katamari Damacy, is a video game developed and published by Namco for the PlayStation 2.","['Action', 'Fantasy']"
Wallace & Gromit Fun Pack 2,Virtual activity center with mini-games based on the first three Wallace and Gromit short films. This is a sequel game to Wallace and Gromit Fun Pack released back in 1996 for PC. This game does have some new mini-games ready to be played. The game also features clips from the sh... Read all,['Family']
Shin Megami Tensei: Devil Summoner,Add a plot in your language,"['Action', 'Adventure', 'Fantasy', 'Horror']"
Football Manager 2007,"Football management simulation game, and third game in the Football Manager series, introducing over 100 new and revised features.",['Sport']
TowerFall,"TowerFall is a multiplayer battle game with up to 4 archers in a frantic fight to the death. Players will have to ration their few arrows, retrieve them from the walls or bodies of fallen foes, or risk going for the treasure for powerful arrows, shields, wings, and other goodies ... Read all","['Action', 'Adventure', 'Fantasy']"
Mass Effect 2: Lair of the Shadow Broker,"Liara T'Soni is tracking down the mysterious Shadow Broker, and no one is safe. She'll do anything to recover the man the Broker kidnapped - and the Shadow Broker's agents will do anything to stop her.","['Action', 'Adventure', 'Sci-Fi']"
Panzer Corps 2,"The ultimate Second World War strategy game. Enjoy the time-proven gameplay formula which has been appreciated by millions of players over the years, brought to a whole new level of refinement up to the latest technical standards.","['History', 'War']"
Championship Manager 2001/02,Add a plot in your language,['Sport']
Touhou Fuujinroku: Mountain of Faith,Add a plot in your language,"['Action', 'Adventure', 'Fantasy']"
Boomerang X,"Harness the power of a mystical boomerang to fling yourself through the air. Slice, fly, and blast through arenas swarming with evil creatures. Stay agile or meet your doom.","['Action', 'Adventure', 'Fantasy']"
Resident Evil Village,Ethan Winters' world suddenly comes crashing down when Chris Redfield's appearance sets off a chain of events that ultimately leads him to a mysterious village.,"['Dark Fantasy', 'Folk Horror', 'Slasher Horror', 'Supernatural Horror', 'Witch Horror', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']"
Final Fantasy XVI,"As a malady known as the Blight ravages the land of Valisthea and its realms plunge into war, Clive Rosfield, the firstborn son of the Archduke of Rosaria, sets out on a dark, dangerous journey to revenge following a tragedy.","['Action', 'Adventure', 'Drama', 'Fantasy']"
Grand Theft Auto III,"A young bank robber escapes from police custody and works his way up through the mafia ladder of crime-ridden Liberty City, USA.","['Heist', 'Action', 'Crime']"
Bully,A troubled teen is dropped off at the worst school in the country and must survive by rising through the rankings of the school system.,"['Dark Comedy', 'Action', 'Crime', 'Drama']"
Resident Evil 7: Biohazard,An ordinary man must embark on a search to find his missing wife that leads him to an abandoned house where a mysterious family lives who harbor an evil secret within the house and themselves.,"['Found Footage Horror', 'Supernatural Horror', 'Action', 'Adventure', 'Horror', 'Sci-Fi']"
Max Payne 3,"The ex-cop turned private security guard for a wealthy family in Sao Paulo, Brazil finds himself thrown into a new deadly conflict.","['Conspiracy Thriller', 'Gun Fu', 'Psychological Thriller', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
The Chronicles of Riddick: Escape from Butcher Bay,"Set before the events of Pitch Black (2000), this game tells the story of how Richard B. Riddick obtained his ability to see in the dark.","['Action', 'Crime', 'Sci-Fi', 'Thriller']"
Borderlands 2,"A new group of adventurers arrives on the frontier planet Pandora. Handsome Jack, an egotistical tyrant attempts to assassinate them but fails. With the help of a deranged talking robot, they seek loot and revenge.","['Satire', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Alien: Isolation,"In this first person survival horror adventure set fifteen years after the events of Alien (1979), Ripley's daughter becomes trapped on an alien-infested space station which holds answers to the mystery of her mother's disappearance.","['Action', 'Adventure', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
Halo: Reach,A highly-trained branch of the UNSC known as the Noble Team must defend the planet of Reach from a massive Covenant invasion.,"['Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']"
Doom Eternal,"In this sequel to Doom (2016), Hell has taken Earth, so it's up to the Doom Slayer, the ultimate demon-killing machine created by a mystical force, to rip and tear the forces of Hell apart. However, Hell is not alone in this fight.","['Cyberpunk', 'Dark Fantasy', 'Monster Horror', 'One-Person Army Action', 'Supernatural Horror', 'Action', 'Fantasy', 'Horror', 'Sci-Fi']"
Doom,"In the future, an unnamed marine fights for survival on a space station on Mars where the Union Aerospace Corporation accidentally opened up a physical portal to Hell.","['Cyberpunk', 'Dark Fantasy', 'Monster Horror', 'One-Person Army Action', 'Supernatural Horror', 'Action', 'Fantasy', 'Horror', 'Sci-Fi']"
God of War Ragnarök: Valhalla,"After the events of Ragnarök, Kratos sees a path for himself he never thought possible.In this DLC epilogue to God of War Ragnarök, Kratos enters Valhalla, a new location in the God of War Norse saga. Faced with echoes of his past, he fights to overcome the trials within himself ... Read all","['Action', 'Adventure', 'Drama', 'Fantasy']"
Prince of Persia: Warrior Within,A proud yet innocent prince is being chased by The Dahaka (Guardian of Time) as a consequence of his actions. He seeks aid from The Empress of Time to escape from the notion that he cannot change his fate.,"['Dark Fantasy', 'Action', 'Adventure', 'Fantasy']"
Cuphead,An anthropomorphic cup embarks on a journey and fights a series of bosses to repay a debt to the devil.,"['Slapstick', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Silent Hill 3,Heather is suddenly thrust into a strange alternate reality filled with demonic imagery and twisted monsters. She quickly comes to find that the events unfolding around her have something to do with her past.,"['Drama', 'Horror', 'Mystery']"
Grand Theft Auto IV: The Ballad of Gay Tony,"Luis Lopez is forced to help his boss Anthony ""Gay Tony"" Prince and clean up his mess, discovering that the rich life of Liberty City is just as dangerous as the tough streets where Luis grew up.","['Action', 'Crime', 'Drama']"
Destiny 2: The Final Shape,"The Final Shape looms--a nightmarish calcification of reality into the Witness's twisted design. Embark on a perilous journey into the heart of the Traveler, rally the Vanguard, and end the War of Light and Darkness.",['Sci-Fi']
The Elder Scrolls III: Morrowind,"The protagonist travels by Morrowind, eastern province of the Septim Empire in Tamriel. He/she can save it from enslavement or explore for personal purposes.","['Action', 'Adventure', 'Fantasy']"
Super Smash Bros. Brawl,"The third Super Smash Bros. title, featuring a number of new additions, including an engrossing story mode and cooperative play, new characters, new stages, and online combat.","['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Sport']"
What Remains of Edith Finch,Edith Finch travels back to the Finch family home in Washington to explore her ancestral history after recent family events drive her to learn more about herself and the Finches.,"['Adventure', 'Drama', 'Mystery', 'Thriller']"
Resident Evil 3: Nemesis,"Two months after surviving the grisly disaster at the mansion lab, Jill Valentine resigns from S.T.A.R.S. and attempts to escape the ruined nightmarish Racoon city.","['Action', 'Horror', 'Sci-Fi', 'Thriller']"
Splinter Cell: Chaos Theory,"Proving you can't keep a good agent down, Sam Fisher returns for this third undercover outing, which takes him deep inside North Korea on an information warfare mission.","['Action', 'Adventure', 'Thriller']"
The Lord of the Rings: The Battle for Middle-Earth II,You play the Elf and the Dwarf nations as they fight their own battles against the forces of Sauron.,"['Action', 'Adventure', 'Fantasy']"
Resident Evil HD Remaster,HD Remaster of the horror game Resident Evil (2002). Raccoon City Police Department elite team Jill Valentine and Chris Redfield are forced to flee into a mysterious mansion where they encounter zombies and mutated monsters.,"['Zombie Horror', 'Action', 'Crime', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
Little Nightmares II,"Little Nightmares II is a suspense-adventure game in which you play as Mono, a young boy trapped in a world that has been distorted by the humming transmission of a distant tower.","['Adventure', 'Horror']"
Duskwood,Found phone mystery thriller in which the player is trying to crack a kidnapping case with the help of a hacker. Tune in as drama unfolds.,"['Crime', 'Drama', 'Horror', 'Mystery']"
Asgard's Wrath II,Add a plot in your language,"['Action', 'Adventure', 'Fantasy']"
Psychonauts,"Raz, a young psychic, must battle forces greater than he if he is to save his new-found friends at the Whispering Rock psychic camp, where children are having their brains mysteriously stolen.","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery']"
BioShock Infinite: Burial at Sea - Episode One,"1958. After the events of BioShock Infinite (2013) and on the eve of the civil war that will destroy the underwater city, Elizabeth goes to Rapture to find Booker DeWitt and offers him her help to investigate the disappearance of an orphan girl.","['Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Super Mario Bros. Wonder,"Classic Mario side-scrolling gameplay is turned on its head with the addition of Wonder Flowers. Witness pipes coming alive, wreak havoc as a giant spiky ball, and see even more unexpected events called Wonder Effects.","['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Sea Adventure', 'Action', 'Adventure', 'Family', 'Fantasy']"
The Legend of Zelda,"Follows the story of a young boy named Link that must save a kidnapped princess from the evil, demonic Ganon, who put a spell on his lair which can only be removed with the 3 pieces of the Triforce, a golden triangle with mystical powers.","['Quest', 'Action', 'Adventure', 'Fantasy', 'Mystery']"
Bad Parenting 1: Mr. Red Face,"Mr. Red Face, a fictional character created by adults to teach their children. It's said that he often appears late at night to give gifts to well-behaved kids. But is the story of Mr. Red Face really that simple?","['Docudrama', 'Monster Horror', 'Tragedy', 'Adventure', 'Drama', 'Horror', 'Mystery']"
Final Fantasy XIV: Shadowbringers,"The Warrior of Light and the Scions of the Seventh Dawn are transported to Norvrandt, a dying land on the First slowly being consumed by an ever-growing Light, where they must contend with its secrets and its terrifying threats.","['Action', 'Adventure', 'Drama', 'Fantasy']"
Mario Kart 8 Deluxe,"An enhanced version of Mario Kart 8 (2014) for the Nintendo Switch. Includes all previous DLC, a revamped Battle Mode, the Inklings from Splatoon and returning fan-favorite characters like King Boo and Bowser Jr.","['Motorsport', 'Action', 'Fantasy', 'Sci-Fi', 'Sport']"
Sly 3: Honor Among Thieves,Sly Cooper and the gang must recruit a team of world-class thieves in order to penetrate his family vault of massive wealth and collect his inheritance before an evil genius retrieves it first.,"['Animal Adventure', 'Heist', 'Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy']"
Alice,A game with an all new story that takes place after Lewis Carroll's stories. Alice must return to Wonderland and defeat the Queen of Hearts once and for all.,"['Psychological Horror', 'Action', 'Adventure', 'Fantasy', 'Horror']"
Yakuza Kiwami 2,"Kazuma Kiryu is called back to Kamurocho and tasked with finding a new chairman for the Tojo Clan, which brings him into conflict with the legendary 'Dragon Of Kansai'.","['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Donkey Kong Country,"Waking to find his banana hoard clean gone, Donkey Kong sets out with his nephew Diddy Kong through jungle and cavern, past temples and reef, across pine forests, factories, and mountains to rid the island of the wicked Kremlings and reclaim his bananas.","['Buddy Comedy', 'Jungle Adventure', 'Mountain Adventure', 'Quest', 'Action', 'Adventure', 'Comedy']"
Horizon Zero Dawn: The Frozen Wilds,"Aloy's battle with the machines continues when she travels to The Cut, the home of the Banuk. There, she finds an AI that is being worshiped, and a mysterious 'Daemon' constantly attacking the Banuk.","['Artificial Intelligence', 'Action', 'Adventure', 'Sci-Fi']"
Resident Evil 4: Separate Ways,"The mission requires secrecy. Failure is not an option. Before Leon S. Kennedy had even set foot in that cursed village, she was there. Her mission? The retrieval of the cult's darkest secret-the Amber. Now she must deal with an unknown threat that is devouring her from within, a... Read all","['Action', 'Adventure', 'Drama', 'Horror', 'Mystery']"
Dragon Quest XI: Echoes of an Elusive Age,"A young boy from a small town learns he is the chosen hero of Yggdrasil, the World Tree, and sets out on an adventure with colorful companions to save the land of Erdrea from an impending darkness.","['Adventure', 'Family', 'Fantasy']"
Celeste,"While scaling a supernatural mountain in an attempt to salvage her self-respect, a depressed young woman is confronted by a doppelganger manifesting her doubts and fears.","['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Ico,"On a distant island, there is a legend that anyone born with horns will bring about calamity. When such a boy is locked away in a fortress, he must work together with a girl named Yorda to flee before they can be claimed by the spirits.","['Adventure', 'Drama', 'Fantasy']"
Mario Kart 64,"Nintendo 64 entry of the ""Mario Kart"" franchise that introduces, among other things, 3D graphics, 4-player mode and two new playable characters: Wario and Donkey Kong. In addition to the three Grand Prix classes, Mirror Mode is introduced.","['Motorsport', 'Action', 'Family', 'Fantasy', 'Sport']"
Enigma do Medo,"Become Mia, a paranormal detective searching for her missing father inside the Perimeter - a place that doesn't exist. Investigate clues like a real detective and unravel the mysteries behind the Enigma of Fear.","['Adventure', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
Crash Team Racing,"In the fourth installment of the Crash Bandicoot series, an evil alien called Nitros Oxide challenges Crash, his friends, and even his enemies to a racing competition to see who is the fastest in the Universe.","['Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']"
Full Throttle,"Framed for murdering a motorcycle magnate, a biker gang leader tries to clear his name and take revenge on the scheming businessman responsible.","['Action', 'Adventure', 'Crime', 'Sci-Fi']"
Ori and the Blind Forest,"Ori fell from the Spirit Tree in the forest of Nibel during a storm and was adopted by a bear-like creature named Naru, who raised Ori as her own.","['Adventure', 'Fantasy']"
Wylde Flowers,"Join Tara on a heartfelt journey to become a witch in Wylde Flowers. Farm by day, and cast spells by night as you craft your cottage-core life and bond with your coven.","['Adventure', 'Fantasy']"
Toonstruck,Overworked animator Drew Blanc falls asleep and gets sucked into the world from his popular show. He must help the inhabitants stop Count Nefarious from turning their world into a twisted nightmare with his mutagen beam.,"['Adventure', 'Comedy']"
Banjo-Kazooie,"The witch Gruntilda has captured Banjo's beloved sister, intending to leech the girl's youth and beauty through black magic and mad science. Banjo and Kazooie set out across nine worlds to get her back.","['Action', 'Adventure', 'Comedy', 'Fantasy']"
Perfect Dark,A female spy named Joanna Dark who received the highest grade ever from her spy training at Carrington Institute is sent to rescue a Doctor Caroll who sent a distress call to Carrington a few days before.,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Black Mesa,Scientist Gordon Freeman navigates through the titular research facility in New Mexico after a botched experiment.,"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
Jet Set Radio Future,"A group of graffiti spraying, roller blading, teens called, ""The GGs"", have to stop a mega corporate enterprise known as, ""The Rokkaku Group"" and their leader, ""Gouji Rokkaku"" who is the brand new mayor of a futuristic Tokyo. He plans to take away freedom of expression and speech... Read all","['Action', 'Family', 'Sport']"
Forza Horizon 3,"Forza Horizon 3 is an open world racing game with 350 different cars, set in a fictional representation of Australia, and centers around a Horizon racing festival. The game enables cross-platform play for up to twelve players.","['Action', 'Adventure', 'Crime', 'Family', 'Sport']"
The Godfather: The Don's Edition,"Set in New York from 1945-1955, Players will join the Corleone family as ""soldiers"" and work their way up the ranks through loyalty, fear, and any number of illegal activities. The goal is to become Don of your own mafia family.","['Crime', 'Drama']"
To the Moon,Follows Dr. Eva Rosalene and Dr. Neil Watts (employed by Sigmund Corp.) as they fulfill the lifelong dream of the dying Johnny Wyles.,"['Adventure', 'Drama', 'Mystery', 'Romance', 'Sci-Fi']"
Fatal Frame II: Crimson Butterfly,"Twin sisters try to escape a haunted village with the help of the Camera Obscura, a camera with the power to see the impossible.","['Adventure', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']"
Metroid Dread,"Set after ""Metroid: Fusion (2002)"", bounty hunter Samus Aran investigates the source of a mysterious transmission on the planet ZDR where she faces a new robotic enemy.","['Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
Xenoblade Chronicles: Definitive Edition,Join the fight between man and machine in the definitive edition of this critically-acclaimed RPG. Discover the origins of Shulk as he and his companions clash against a seemingly-unstoppable mechanical menace.,"['Adventure Epic', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']"
Deus Ex: Human Revolution - Director's Cut,"The year is 2027. It is a time of great innovation and technological advancement. It is also a time of chaos and conspiracy. Corporations have more power than the government. Everyone is fighting for power, for control. Adam Jensen wakes up, after a brutal attack at Sarif Industr... Read all","['Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Vagrant Story,"Valendia is a land that had undergone civil war, the end of which had birthed the parliament and several organizations to control the balance of power. Ashley Riot is a Riskbreaker, an elite agent for the Valendia Knights of Peace (VKP) who is investigating some strange occurrenc... Read all","['Action', 'Adventure', 'Drama', 'Fantasy']"
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,"At the end of the 60's, Cate Archer is once against called upon to battle the H.A.R.M. organization, which has developed a deadly virus that could allow them to rule the world!","['Action', 'Adventure', 'Comedy']"
Twisted Metal 2,"Second game in the vehicular combat series, Twisted Metal: a demolition derby to be the last remaining player. Co-operative mode is introduced.","['Action', 'Crime', 'Fantasy']"
Return of the Obra Dinn,"Return of the Obra Dinn is set aboard a fictional East India Company ghost ship whose crew and passengers have all mysteriously died, with the game's objective being to discover how.","['Fantasy', 'Mystery']"
Donkey Kong Country 2: Diddy's Kong Quest,"Kaptain K. Rool kidnaps Donkey Kong and imprisons him high atop Crocodile Isle. Diddy Kong and his friend Dixie Kong must brave pirate ships, volcanoes, swamps, demented theme parks and deep, dark forests to rescue the gormless gorilla.","['Jungle Adventure', 'Mountain Adventure', 'Quest', 'Swashbuckler', 'Action', 'Adventure']"
Serial Experiments Lain,"""Serial Experiments Lain"", a PS1 game based on an anime of the same title, allows you to explore multiple diaries in the digital world and uncover Lain's past with her therapist.","['Horror', 'Mystery', 'Sci-Fi']"
Undertale Yellow,"When a child named Clover sets out on a mission, they find themself deep within the Underground. In this foreign land, monsters lurk around every corner, but are they friend or foe? In this full-length followup to the friendly RPG where nobody has to die, you decide how every enc... Read all","['Adventure', 'Comedy', 'Drama', 'Fantasy']"
Snatcher,"Set in the mid-21st century, Gillian Seed and his trusty robot sidekick Metal Gear investigate the mysterious infiltration of deadly snatchers into the general population of Neo Kobe City.","['Action', 'Mystery', 'Sci-Fi', 'Thriller']"
The Binding of Isaac: Repentance,"In this final DLC to The Binding of Isaac Rebirth, Experience the modern classic like you've never seen it before. Taking Isaac to new heights, As the brave boy descends into the basement for his greatest challenge yet.","['Action', 'Adventure', 'Fantasy', 'Horror']"
Under a Killing Moon,"In the year 2042, a clumsy noir gumshoe named Tex Murphy must stop a cult of religious fanatics who plan to destroy the human race.","['Adventure', 'Comedy', 'Crime', 'Mystery', 'Sci-Fi']"
